2025-12-10T12:59:40.153912, -0.9259 0.1418 0.1103 -2.5383 -0.3594 0.16 0.03
2025-12-10T12:59:40.201213, -0.8264 0.2690 0.1105 -2.5447 -0.3875 0.16 0.03
2025-12-10T12:59:40.248300, -1.0230 0.3357 0.2003 -2.3101 -0.2025 0.16 0.03
2025-12-10T12:59:40.295342, -0.9708 0.3641 0.2192 -2.2830 -0.0851 0.16 0.03
2025-12-10T12:59:40.343019, -0.9994 0.4787 0.2507 -2.3480 -0.0269 0.16 0.03
2025-12-10T12:59:40.390608, -0.9194 0.4146 0.3380 -2.3445 0.0092 0.16 0.03
2025-12-10T12:59:40.438250, -0.9088 0.3282 0.1753 -2.3405 0.0708 0.16 0.03
2025-12-10T12:59:40.486016, -1.0187 0.3571 0.0773 -2.3660 0.1099 0.16 0.03
2025-12-10T12:59:40.533695, -1.0400 0.3224 0.0062 -2.4773 0.0394 0.16 0.03
2025-12-10T12:59:40.581833, -1.0583 0.2321 0.2130 -2.3497 -0.0673 0.16 0.03
2025-12-10T12:59:40.629118, -1.0142 0.4967 0.1552 -2.3566 0.0485 0.16 0.03
2025-12-10T12:59:40.678244, -1.1396 0.4146 -0.0452 -2.3468 -0.0144 0.16 0.03
2025-12-10T12:59:40.726250, -1.0998 0.2676 -0.1612 -2.3224 -0.0397 0.16 0.03
2025-12-10T12:59:40.773550, -1.0793 0.2284 -0.0385 -2.2853 -0.0170 0.16 0.03
2025-12-10T12:59:40.821066, -1.1806 0.1041 -0.1702 -2.1322 -0.0868 0.16 0.03
2025-12-10T12:59:40.868304, -1.2541 0.0847 -0.1810 -2.2215 -0.0732 0.16 0.03
2025-12-10T12:59:40.915508, -1.2433 0.0977 -0.0259 -2.3139 -0.1061 0.16 0.03
2025-12-10T12:59:40.963527, -1.2933 0.0341 -0.0991 -2.4091 -0.0901 0.16 0.03
2025-12-10T12:59:41.010698, -1.2320 0.0532 -0.1035 -2.3273 -0.2406 0.16 0.03
2025-12-10T12:59:41.058427, -1.1777 0.1747 -0.0475 -2.3594 -0.2229 0.16 0.03
2025-12-10T12:59:41.106129, -1.1446 0.2811 -0.1181 -2.4017 -0.2372 0.16 0.03
2025-12-10T12:59:41.153015, -0.9956 0.2099 -0.1949 -2.3182 -0.3544 0.16 0.03
2025-12-10T12:59:41.200847, -0.9990 0.2221 0.0818 -2.3040 -0.3374 0.16 0.03
2025-12-10T12:59:41.248629, -1.1064 0.3674 -0.0045 -2.2907 -0.1580 0.16 0.03
2025-12-10T12:59:41.295827, -1.0805 0.2255 -0.0204 -2.3380 -0.1799 0.16 0.03
2025-12-10T12:59:41.343163, -1.1173 0.2206 -0.1540 -2.3039 -0.1841 0.16 0.03
2025-12-10T12:59:41.390774, -1.2089 0.3358 -0.0319 -2.1834 -0.3074 0.16 0.03
2025-12-10T12:59:41.439163, -1.2141 0.3471 -0.0593 -2.1666 -0.2958 0.16 0.03
2025-12-10T12:59:41.486073, -1.1734 0.2820 -0.1730 -2.1361 -0.2107 0.16 0.03
2025-12-10T12:59:41.533822, -1.2569 0.3295 -0.0485 -2.1834 -0.3902 0.16 0.03
2025-12-10T12:59:41.580813, -1.2848 0.4907 0.0309 -2.0297 -0.4579 0.16 0.03
2025-12-10T12:59:41.628292, -1.0995 0.6470 0.1604 -2.2082 -0.5619 0.16 0.03
2025-12-10T12:59:41.675879, -1.2056 0.7838 0.1393 -2.3191 -0.6380 0.16 0.06
2025-12-10T12:59:41.722960, -1.1638 0.7091 0.0610 -2.3408 -0.5550 0.16 0.03
2025-12-10T12:59:41.770911, -1.0818 0.5836 0.3063 -2.4039 -0.4521 0.16 0.03
2025-12-10T12:59:41.817834, -1.0542 0.4583 0.2821 -2.1742 -0.3766 0.16 0.03
2025-12-10T12:59:41.866186, -1.0297 0.6024 0.3506 -2.1514 -0.4896 0.16 0.03
2025-12-10T12:59:41.913229, -1.0677 0.5790 0.3058 -2.1754 -0.5139 0.16 0.03
2025-12-10T12:59:41.961377, -1.0856 0.5434 0.2963 -2.2406 -0.4302 0.16 0.03
2025-12-10T12:59:42.008894, -1.1160 0.5867 0.1533 -2.3269 -0.3717 0.16 0.03
2025-12-10T12:59:42.055777, -0.9926 0.5647 0.0577 -2.4018 -0.3651 0.16 0.03
2025-12-10T12:59:42.103829, -1.0186 0.4554 0.0486 -2.3919 -0.3890 0.16 0.03
2025-12-10T12:59:42.150825, -1.0561 0.4491 0.2050 -2.4122 -0.3501 0.16 0.04
2025-12-10T12:59:42.198191, -0.9389 0.4435 0.1927 -2.3245 -0.3009 0.16 0.03
2025-12-10T12:59:42.245775, -0.9406 0.4384 0.1369 -2.3962 -0.3772 0.16 0.03
2025-12-10T12:59:42.293749, -0.9117 0.5384 0.0281 -2.3237 -0.3543 0.16 0.03
2025-12-10T12:59:42.341016, -0.9908 0.4165 0.1271 -2.3340 -0.2892 0.16 0.03
2025-12-10T12:59:42.388512, -1.0149 0.4590 0.0942 -2.1478 -0.3666 0.16 0.03
2025-12-10T12:59:42.436011, -0.9310 0.5710 0.0952 -1.7144 -0.2549 0.16 0.03
2025-12-10T12:59:42.483253, -0.9169 0.4446 0.0512 -1.7823 -0.2914 0.16 0.03
2025-12-10T12:59:42.531292, -0.7098 0.4234 0.0276 -1.7813 -0.2785 0.16 0.03
2025-12-10T12:59:42.579215, -0.5727 0.4494 0.0069 -1.7799 -0.2671 0.16 0.03
2025-12-10T12:59:42.627351, -0.5718 0.4721 0.0485 -1.8378 -0.4065 0.16 0.03
2025-12-10T12:59:42.674723, -0.4662 0.5666 -0.0796 -1.8879 -0.4389 0.16 0.03
2025-12-10T12:59:42.721818, -0.5677 0.4699 -0.1320 -1.8863 -0.2578 0.16 0.03
2025-12-10T12:59:42.769547, -0.6417 0.4147 -0.1182 -1.8693 -0.2035 0.16 0.03
2025-12-10T12:59:42.817003, -0.6465 0.3662 -0.2257 -1.9734 -0.1708 0.16 0.03
2025-12-10T12:59:42.865124, -0.7103 0.3833 -0.3049 -1.9443 -0.1719 0.16 0.03
2025-12-10T12:59:42.912245, -0.8109 0.4431 -0.0304 -2.0078 -0.1130 0.16 0.03
2025-12-10T12:59:42.960176, -0.7942 0.4356 0.1806 -1.9282 -0.2258 0.16 0.03
2025-12-10T12:59:43.008982, -0.6147 0.6980 0.0516 -1.8278 -0.1602 0.16 0.03
2025-12-10T12:59:43.055700, -0.6514 0.6588 0.0132 -1.7988 -0.1474 0.16 0.03
2025-12-10T12:59:43.103898, -0.8180 0.7737 0.0393 -1.8027 -0.2258 0.16 0.03
2025-12-10T12:59:43.150902, -0.8593 0.8593 -0.0126 -1.8503 -0.1899 0.16 0.03
2025-12-10T12:59:43.198498, -0.8353 0.7097 -0.0282 -1.8316 -0.2480 0.16 0.03
2025-12-10T12:59:43.245976, -0.8737 0.4138 -0.0568 -1.7995 -0.3438 0.16 0.03
2025-12-10T12:59:43.293727, -0.8773 0.4231 -0.0520 -1.8605 -0.3081 0.16 0.03
2025-12-10T12:59:43.342474, -0.9399 0.3414 -0.1375 -2.0031 -0.2318 0.16 0.03
2025-12-10T12:59:43.389485, -1.0244 0.2697 -0.2125 -2.0227 -0.4638 0.16 0.03
2025-12-10T12:59:43.437180, -0.9934 0.2066 -0.1884 -1.9944 -0.4429 0.16 0.03
2025-12-10T12:59:43.484640, -0.9809 0.2559 -0.1374 -2.0735 -0.4244 0.16 0.03
2025-12-10T12:59:43.532249, -0.9995 0.2841 0.1917 -2.1122 -0.4529 0.16 0.03
2025-12-10T12:59:43.580355, -1.0303 0.3685 0.1064 -2.0258 -0.2833 0.16 0.03
2025-12-10T12:59:43.628274, -1.1169 0.1584 0.0465 -2.0240 -0.2241 0.16 0.03
2025-12-10T12:59:43.676219, -1.1625 0.1683 -0.0360 -2.0217 -0.1871 0.16 0.03
2025-12-10T12:59:43.723659, -1.0525 0.2667 -0.0635 -1.9891 -0.3191 0.16 0.03
2025-12-10T12:59:43.770615, -1.0005 0.0837 -0.0427 -1.9149 -0.5693 0.16 0.03
2025-12-10T12:59:43.818055, -1.0144 0.2522 0.1700 -1.9837 -0.5195 0.16 0.03
2025-12-10T12:59:43.865623, -0.9215 0.2653 0.1022 -1.9536 -0.5504 0.16 0.03
2025-12-10T12:59:43.912803, -0.8396 0.3216 0.0128 -2.0013 -0.4726 0.16 0.03
2025-12-10T12:59:43.960847, -0.8423 0.5803 -0.0356 -2.0424 -0.3593 0.16 0.03
2025-12-10T12:59:44.008707, -0.8144 0.5228 -0.0482 -1.8235 -0.1550 0.16 0.03
2025-12-10T12:59:44.055552, -0.7000 0.5769 0.2398 -1.8700 -0.2450 0.16 0.03
2025-12-10T12:59:44.102983, -0.7787 0.3101 0.1634 -1.8503 -0.0995 0.16 0.03
2025-12-10T12:59:44.150872, -0.8475 0.2255 0.0964 -1.9670 -0.0466 0.16 0.03
2025-12-10T12:59:44.198865, -0.8627 0.2110 0.1123 -2.1584 -0.0450 0.16 0.03
2025-12-10T12:59:44.246538, -0.9506 0.2281 0.0066 -2.0415 -0.1334 0.16 0.03
2025-12-10T12:59:44.293856, -0.9525 0.4075 0.1830 -2.2073 -0.1959 0.16 0.03
2025-12-10T12:59:44.341079, -0.9987 0.3554 0.1732 -2.1575 -0.3404 0.16 0.03
2025-12-10T12:59:44.388677, -0.9940 0.3395 0.1346 -2.1580 -0.3773 0.16 0.03
2025-12-10T12:59:44.435993, -1.0792 0.2805 0.2952 -2.0679 -0.3049 0.16 0.03
2025-12-10T12:59:44.482859, -1.0190 0.1988 0.2863 -2.0778 0.0280 0.16 0.03
2025-12-10T12:59:44.529964, -0.8463 0.1569 0.3832 -1.9811 -0.0389 0.16 0.03
2025-12-10T12:59:44.577361, -0.8289 0.0902 0.2736 -2.0301 -0.1425 0.16 0.03
2025-12-10T12:59:44.626180, -0.9181 0.0018 0.2073 -1.9976 -0.0837 0.16 0.03
2025-12-10T12:59:44.673169, -0.7867 0.0438 0.1341 -1.9833 -0.0471 0.16 0.03
2025-12-10T12:59:44.721382, -0.8505 0.1404 0.1296 -1.9252 -0.2692 0.16 0.03
2025-12-10T12:59:44.768596, -0.8763 0.2103 0.0808 -2.0530 -0.2545 0.16 0.03
2025-12-10T12:59:44.816667, -0.8687 0.2266 0.0080 -1.9550 -0.3015 0.16 0.03
2025-12-10T12:59:44.864375, -0.9215 0.1810 0.0788 -1.8683 -0.0583 0.16 0.03
2025-12-10T12:59:44.911974, -0.9227 0.1410 -0.0087 -1.8664 0.0652 0.16 0.03
2025-12-10T12:59:44.959830, -0.8486 0.1058 -0.0107 -1.7144 -0.0507 0.16 0.03
2025-12-10T12:59:45.007547, -0.8581 0.1646 -0.1620 -1.7899 -0.0177 0.16 0.03
2025-12-10T12:59:45.055396, -0.8810 0.1563 -0.2199 -1.7508 0.0859 0.16 0.03
2025-12-10T12:59:45.102374, -0.7662 0.1790 -0.3005 -1.7008 0.0123 0.16 0.03
2025-12-10T12:59:45.150420, -0.7700 0.3782 -0.1020 -1.7611 -0.0672 0.16 0.03
2025-12-10T12:59:45.198386, -0.8028 0.3734 -0.1371 -1.8582 -0.0173 0.16 0.03
2025-12-10T12:59:45.245467, -0.7865 0.3241 -0.2876 -1.6287 0.0115 0.16 0.03
2025-12-10T12:59:45.293343, -0.8317 0.1611 -0.1653 -1.7557 -0.0828 0.16 0.03
2025-12-10T12:59:45.340962, -0.8113 0.1377 -0.2074 -1.8366 -0.1506 0.16 0.03
2025-12-10T12:59:45.388164, -0.8978 0.0424 -0.3041 -1.8621 -0.1951 0.16 0.03
2025-12-10T12:59:45.436193, -0.8387 0.1083 -0.3440 -1.7193 -0.2041 0.16 0.03
2025-12-10T12:59:45.483635, -0.7717 0.0464 -0.3340 -1.7579 -0.2269 0.16 0.03
2025-12-10T12:59:45.531015, -0.7724 -0.0079 -0.2951 -1.6864 -0.2020 0.16 0.03
2025-12-10T12:59:45.578501, -0.9222 0.0043 -0.1563 -1.7278 -0.2398 0.16 0.03
2025-12-10T12:59:45.626245, -0.9936 -0.0299 -0.2437 -1.6139 -0.1982 0.16 0.03
2025-12-10T12:59:45.674098, -0.9960 -0.0300 -0.2007 -1.1843 -0.1616 0.16 0.03
2025-12-10T12:59:45.721474, -0.9230 -0.1347 -0.2079 -1.2557 -0.2191 0.16 0.03
2025-12-10T12:59:45.769578, -0.9184 -0.1667 -0.1093 -1.3329 -0.0901 0.16 0.03
2025-12-10T12:59:45.817480, -0.6898 -0.0153 -0.1724 -1.4001 -0.0815 0.16 0.03
2025-12-10T12:59:45.864874, -0.8478 -0.0171 -0.2725 -1.2940 -0.1937 0.16 0.03
