timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A1_v8,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7,A2_v8
2025-12-13T18:09:41.583225,A,3.071,3.638,3.127,-0.068,1.664,0.455,0.241,0.834,1.719,-0.327,2.520,2.729,2.117,0.295,0.232,-0.925
2025-12-13T18:09:41.583225,A,3.200,3.551,3.091,-0.092,1.583,0.524,0.316,0.876,1.657,-0.547,2.414,2.777,2.093,0.303,0.195,-0.931
2025-12-13T18:09:41.583225,A,3.346,3.459,3.193,-0.206,1.627,0.475,0.263,0.801,1.548,-0.002,2.605,2.762,2.053,0.318,0.197,-0.924
2025-12-13T18:09:41.583225,A,3.321,3.417,3.485,-0.191,1.702,0.400,0.224,0.782,1.943,-0.158,2.449,2.993,1.982,0.305,0.205,-0.914
2025-12-13T18:09:41.583225,A,3.374,4.076,3.396,-0.384,1.803,0.388,0.230,0.760,1.997,0.198,2.503,2.946,2.016,0.322,0.206,-0.915
2025-12-13T18:09:41.584585,A,3.532,3.848,3.807,-0.473,1.720,0.525,0.226,1.117,2.062,0.031,2.531,2.962,2.044,0.350,0.225,-0.918
2025-12-13T18:09:41.584585,A,3.517,3.617,4.026,-0.643,1.743,0.569,0.200,0.941,2.005,0.039,2.442,2.938,1.956,0.311,0.185,-0.916
2025-12-13T18:09:41.584585,A,3.485,3.627,3.818,-0.599,1.763,0.493,0.281,0.755,1.825,0.027,2.310,2.880,2.012,0.295,0.212,-0.933
2025-12-13T18:09:41.584585,A,3.307,3.504,3.773,-0.263,1.724,0.410,0.230,0.797,1.803,-0.020,2.367,3.018,1.722,0.315,0.199,-0.916
2025-12-13T18:09:41.584585,A,3.306,3.475,3.659,-0.314,1.615,0.495,0.291,0.939,1.860,-0.117,2.359,3.454,2.038,0.328,0.196,-0.919
2025-12-13T18:09:41.584585,A,3.343,3.375,3.469,-0.320,1.504,0.510,0.287,0.834,1.795,-0.143,2.371,3.450,2.044,0.304,0.196,-0.929
2025-12-13T18:09:41.584585,A,3.243,3.384,3.476,-0.344,1.541,0.464,0.246,0.829,1.684,-0.090,2.324,3.297,2.181,0.303,0.187,-0.920
2025-12-13T18:09:41.585597,A,3.309,3.410,3.351,-0.401,1.497,0.465,0.268,0.860,1.965,-0.045,2.323,3.260,2.203,0.310,0.187,-0.925
2025-12-13T18:09:41.585597,A,3.233,3.507,3.338,-0.600,1.385,0.485,0.284,0.853,2.016,-0.007,2.340,3.379,2.185,0.313,0.188,-0.924
2025-12-13T18:09:41.585597,A,3.074,3.327,3.252,-0.526,1.421,0.483,0.269,0.856,2.153,-0.049,2.280,3.517,2.394,0.302,0.189,-0.921
2025-12-13T18:09:41.585597,A,3.296,3.587,3.198,-0.331,1.452,0.472,0.257,0.850,2.082,-0.104,2.116,3.522,2.553,0.301,0.196,-0.921
2025-12-13T18:09:41.585597,A,3.428,3.395,3.246,-0.428,1.647,0.472,0.271,0.856,2.341,-0.282,2.145,3.471,2.463,0.300,0.202,-0.918
2025-12-13T18:09:41.585597,A,3.466,3.157,3.267,-0.473,1.718,0.477,0.279,0.855,2.316,-0.283,2.189,3.314,2.406,0.294,0.190,-0.921
2025-12-13T18:09:41.585597,A,3.591,3.480,3.267,-0.680,1.873,0.479,0.275,0.862,2.315,-0.340,2.227,3.256,2.357,0.323,0.207,-0.910
2025-12-13T18:09:41.585597,A,3.810,3.510,3.211,-0.744,1.798,0.479,0.270,0.848,2.013,-0.408,2.296,3.207,2.203,0.327,0.172,-0.946
2025-12-13T18:09:41.585597,A,3.753,3.649,3.594,-0.685,1.679,0.498,0.266,0.861,1.907,-0.596,2.205,3.165,2.259,0.314,0.167,-0.912
2025-12-13T18:09:41.585597,A,3.667,3.504,3.414,-0.617,1.596,0.472,0.252,0.843,1.854,-0.532,2.127,3.073,2.101,0.293,0.165,-0.929
2025-12-13T18:09:41.585597,A,3.556,3.624,3.410,-0.671,1.581,0.455,0.262,0.865,1.959,-0.533,2.155,2.995,2.079,0.289,0.191,-0.917
2025-12-13T18:09:41.585597,A,3.649,3.633,3.407,-0.792,1.588,0.472,0.273,0.855,2.011,-0.759,2.216,3.059,2.060,0.299,0.200,-0.925
2025-12-13T18:09:41.585597,A,3.559,3.547,3.405,-0.783,1.575,0.470,0.277,0.849,2.018,-0.670,2.287,3.302,1.838,0.300,0.188,-0.926
2025-12-13T18:09:41.585597,A,3.502,3.455,3.309,-0.906,1.601,0.462,0.276,0.873,2.061,-0.500,2.234,3.302,1.893,0.275,0.159,-0.924
2025-12-13T18:09:41.585597,A,3.528,3.320,3.284,-0.748,1.605,0.451,0.261,0.891,2.023,-0.394,2.096,3.208,1.921,0.330,0.290,-1.187
2025-12-13T18:09:41.585597,A,3.457,3.225,3.187,-0.745,1.570,0.493,0.310,1.137,2.046,-0.434,1.997,3.110,1.645,0.375,0.834,-2.343
2025-12-13T18:09:41.585597,A,3.284,3.256,3.030,-0.630,1.278,1.197,0.696,2.133,1.879,-0.338,1.613,2.670,0.735,0.055,-0.051,-1.525
2025-12-13T18:09:41.585597,A,3.118,2.795,2.822,-0.082,0.693,0.330,0.228,1.672,1.155,-0.218,0.312,1.321,-0.619,-0.234,0.013,-1.080
2025-12-13T18:09:41.585597,A,2.283,1.691,1.745,-0.123,-0.480,0.248,0.759,1.110,0.146,-0.341,-0.644,0.043,-2.033,-0.409,0.129,-0.489
2025-12-13T18:09:41.587776,A,1.123,0.621,0.717,-0.364,-1.458,-0.395,0.377,0.324,-0.880,-0.202,-1.569,-0.949,-3.123,-0.327,0.297,-0.527
2025-12-13T18:09:41.587776,A,-0.387,-0.176,-0.326,-0.419,-2.158,-0.114,0.582,0.134,-1.602,-0.290,-2.243,-1.212,-3.917,-0.272,0.214,-0.313
2025-12-13T18:09:41.587776,A,-1.559,-0.947,-1.118,-0.484,-2.622,-0.102,0.303,0.045,-2.028,0.028,-2.797,-2.072,-4.537,-0.310,0.373,-0.288
2025-12-13T18:09:41.587776,A,-2.123,-1.528,-1.661,-0.614,-3.241,-0.098,0.419,-0.043,-2.635,0.206,-3.381,-2.654,-5.007,-0.449,0.330,-0.041
2025-12-13T18:09:41.587776,A,-2.847,-1.965,-2.084,-0.613,-3.561,-0.340,0.471,-0.088,-2.869,0.263,-3.671,-3.316,-5.406,-0.565,0.250,-0.201
2025-12-13T18:09:41.587776,A,-3.387,-2.318,-2.576,-0.536,-3.889,-0.429,0.654,-0.090,-3.180,0.105,-3.954,-3.674,-5.352,-0.754,0.285,-0.142
2025-12-13T18:09:41.587776,A,-3.865,-2.655,-2.881,-0.603,-4.037,-0.563,0.664,0.009,-3.595,0.346,-4.120,-3.940,-5.494,-0.830,0.360,-0.219
