timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A1_v8,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7,A2_v8
2025-12-13T18:07:58.744314,A,3.408,2.665,3.134,-0.237,1.922,0.340,0.298,0.903,1.135,0.054,2.177,2.697,2.174,0.323,0.225,-0.914
2025-12-13T18:07:58.744314,A,3.392,2.817,3.229,-0.199,1.953,0.344,0.324,0.893,0.991,-0.054,2.198,2.656,2.104,0.318,0.228,-0.913
2025-12-13T18:07:58.744314,A,3.397,2.797,3.159,-0.166,1.716,0.352,0.343,0.883,0.814,-0.071,2.046,2.678,2.063,0.320,0.249,-0.902
2025-12-13T18:07:58.744314,A,3.120,2.780,3.288,-0.119,1.890,0.348,0.326,0.890,0.812,-0.047,1.955,2.659,2.065,0.318,0.264,-0.897
2025-12-13T18:07:58.744314,A,3.148,2.709,3.135,-0.117,1.888,0.346,0.323,0.897,0.867,0.029,2.046,2.868,1.992,0.315,0.279,-0.898
2025-12-13T18:07:58.744314,A,2.983,2.649,2.892,-0.096,1.923,0.339,0.301,0.909,1.083,0.056,2.067,2.839,2.099,0.313,0.259,-0.903
2025-12-13T18:07:58.744314,A,2.956,2.654,2.742,-0.022,1.897,0.331,0.289,0.908,1.154,0.117,2.179,2.815,1.946,0.315,0.249,-0.906
2025-12-13T18:07:58.744314,A,3.083,2.827,2.670,-0.072,2.025,0.339,0.309,0.899,1.195,0.037,2.255,3.076,2.041,0.320,0.237,-0.912
2025-12-13T18:07:58.744314,A,3.079,3.031,2.703,-0.189,2.059,0.343,0.326,0.893,1.231,0.288,2.152,2.941,1.991,0.319,0.235,-0.908
2025-12-13T18:07:58.744314,A,3.112,3.316,2.694,-0.064,2.050,0.353,0.341,0.887,1.410,0.220,2.119,2.939,2.004,0.314,0.247,-0.908
2025-12-13T18:07:58.744314,A,3.122,3.540,2.686,0.212,2.024,0.345,0.320,0.897,1.432,0.294,2.148,2.843,1.809,0.316,0.264,-0.899
2025-12-13T18:07:58.744314,A,3.055,3.374,2.642,0.071,1.852,0.344,0.319,0.899,1.694,0.225,2.211,2.818,1.869,0.308,0.277,-0.896
2025-12-13T18:07:58.744314,A,3.055,3.158,2.623,-0.124,2.043,0.339,0.304,0.907,1.692,0.260,2.188,2.816,1.938,0.320,0.263,-0.901
2025-12-13T18:07:58.744314,A,2.979,3.011,2.982,-0.252,2.186,0.344,0.295,0.906,1.559,0.365,2.263,2.795,2.540,0.321,0.250,-0.905
2025-12-13T18:07:58.744314,A,3.140,3.243,2.912,-0.380,2.214,0.349,0.312,0.904,1.615,0.154,2.139,3.021,2.452,0.321,0.254,-0.897
